tweets_username,tweets_utc_date,tweets_tweet,tweets_retweet_count,tweets_likes_count,tweets_tweet_value,most_mentioned_user,most_mentioned_count,contributors_impacts,contributors_followers,contributors_following,contributors_user_value,contributors_tweets_value
@Tumi27543288,2023-10-15 23:56:13,"Mercy is entering my eye🥰. General na you do this one😂

#PereEgbi #MercyEke #BBNaija ",4,32,0.66,@abdullm1590,4.0,0,0,13,0.0,0.0
@Jessieleigh79,2023-10-15 23:56:13,"🪙 Don't miss out on your Arbitrum Airdrop rewards - claim today: ⤵️

🤲 

🔥 A $5500 $ARB Airdrop surprise has made my day 😈 
#NEO #PHA #X #MEXC #BONE #OG ",0,0,0.0,@maameama12226,7.0,474,237,2149,0.64,1.34
@silviadesousasa,2023-10-15 23:56:05,"✨ Claim your MetaMask Airdrop and make your crypto e true: ⤵️

🤞 

🔥 Celebrating a $5500 MASK Airdrop that made my day! 😈
#COINBASE #ARB #KLAY #Tether #NEO #COMBO ",0,0,0.0,@waterandicelit,5.0,0,0,12,0.0,0.0
@jonathan1MB,2023-10-15 23:56:04,"🎉 Join the Airdrop party by claiming your MetaMask Airdrop now: ⤵️

🤙 

🔥 Just got my hands on a $5500 MASK Airdrop 😈
#KDA #BNT  $thetipcoin #LDO #NEO ",0,0,0.71,@juju_keny,7.0,0,0,1,0.0,0.0
@antoinedunla113,2023-10-15 23:56:04,"🚀 Be among the first to claim Azuki's #AZUKI token! Don't wait, grab their Airdrop for $5500 🎁. Claim it immediately ⤵️

👇 

#LIDO #METAMASK #ONT #USDC #NEO #ACH ",0,0,0.0,@202bisola,3.0,3,3,8,0.01,0.01
@PatriciaMexCanu,2023-10-15 23:55:53,"🌕 Grab your Arbitrum Airdrop and skyrocket your crypto holdings: ⤵️

🙂 

🔥 Receiving a $5500 $ARB Airdrop is a crypto e true 😈 
#ARBITRUM #ZEC #COMBO #wsm #NEO #PPC ",0,0,0.01,@kolish_,1.0,56,56,190,0.17,0.19
@michell61629205,2023-10-15 23:55:49,"🎉 Hey bro! You were chosen for Celestia Airdrop ‼️ Act quickly to get your $CEL immediately. I just got $6500 🎁. Check out their tweet below ⤵️

👉 

#BONE #NEO #LEASH #Ethereum #PULSECHAIN #DOGE ",0,0,0.0,@official_ceec,146.0,113,113,144,0.36,0.48
@minhthaodam,2023-10-15 23:55:48,"🎉 Hey bro! You were chosen for Celestia Airdrop ‼️ Don't procrastinate, claim your $CEL immediately. I've received my $6500 🎁. Check their tweet below ⤵️

👉 

#arb #LUNC oken #NEO #TronLink #PLS ",0,0,0.01,@joshua_godsgift,1.0,213270,71090,704,179.92,593.73
@Thathonest_girl,2023-10-15 23:55:47,Never!!! Is Soma a joke to them ? A spec &amp; more…#BBNaija #Somageng #Somgel ,3,10,1.47,@kuukua_forson,1.0,502,502,295,1.55,1.71
@webstertactics,2023-10-15 23:55:44,"💸 Your Arbitrum Airdrop is just a click away - claim it now: ⤵️

👉 

🔥 I'm over the moon with this $5500 $ARB Airdrop 😈 
#LINK #cryptotrading #COMP #BONE #shiba #NEO ",0,0,0.0,@official_fixeds,2.0,2561,197,140,0.65,6.79
@SandyNoss,2023-10-15 23:55:21,"🎉 Hey bro! You were chosen for Celestia Airdrop ‼️ Ensure you obtain your $CEL without delay. I've already received $6500 🎁. Check their tweet below ⤵️

👉 

#SEC #DOGE #NEO #COCO #AVAX #MIOTA ",0,0,0.01,@beautttty77,2.0,0,0,1,0.0,0.0
@Rattertatat,2023-10-15 23:55:06,"🌕 Don't miss this opportunity to claim your Galxe Airdrop: ⤵️

🤲 

🔥 Thank you, crypto gods, for the $5500 $GALXE Airdrop 😈 
#alts #crypto #PULSECHAIN #PLS #NEO #Doge ",0,0,0.0,@olanmadiamond,3.0,0,0,7,0.0,0.0
@IamPearl_icous,2023-10-15 23:54:56,"The Diamond 💎 of the season.

CHIEF MERCY EKE

MERCY EKE X SECRETSPALACE
#MercyEke ",16,34,4.18,@hermajesty_qv1,5.0,4,2,2,0.01,0.02
@licksharey,2023-10-15 23:54:33,"I love TikTok people,they just cruise ,edit dissect and laughter
#venita
#bbnaija ",0,4,2.0,@niffyblizz,1.0,0,0,10,0.0,0.0
@ChillsPretty,2023-10-15 23:54:22,"If you are staning both of them join this queue because I’m tired and confused aaah🤭 Mercenaries leave my Angel for me Archies leave my Mercy for me 😩shalooom ✌️ 
#AngelJBSmith #MercyEke #BBNaijaAIIStars ",0,1,1.58,@itv2xtra,1.0,5,5,59,0.02,0.03
@Favouritebella,2023-10-15 23:54:16,"@theangeljbsmith @haifah_er_abba 😂😂😂😂
Love you Barbie 🤍💖🤍💖🤍

🥰🥰🥰🥰🥰
#AngelJBSmith",3,2,0.28,@izludori,1.0,362,181,133,0.6,0.78
@thanhbinh2102,2023-10-15 23:54:14,"🎉 Hey bro! You were chosen for Celestia Airdrop ‼️ Ensure you grab your $CEL right away. I've already received $6500 🎁. Check their tweet below ⤵️

👉 

#NEO #FLOKI #pond0x #BULLET #CRV #SNEK ",0,0,0.01,@rodes_neo,1.0,2,1,21,0.0,0.0
@WongAzcorra,2023-10-15 23:54:13,"🌌 The MetaMask Airdrop is calling - answer it here: ⤵️

😁 

🔥 A $5500 MASK Airdrop is the highlight of my day! 😈
#MXRC #FLOKI #NEO #NAV #IMX #FLOKI ",0,0,0.0,@mrgwopz,2.0,5420,1355,3051,3.12,12.48
@RuthSmith183475,2023-10-15 23:54:07,"@IlebayeOfficial Damn 🔥🔥

ILEBAYE X AFCON
ILEBAYE OUR FOCUS
#IlebayeOdiniya 
#GenZBaddie𓅛 ",0,3,0.01,@symplychidera,30.0,0,0,1,0.0,0.0
@louise_amelie,2023-10-15 23:53:56,"🌟 Azuki is thrilled to introduce the #AZUKI token! Claim their Airdrop and earn $5500 🎁. Claim it today ⤵️

🥰 

#TrustWallet #NEO #XRP $friendtech #cryptocurrency #ETH ",0,0,0.01,@tejumolababa,11.0,0,0,0,0.0,0.0
@pesespada023,2023-10-15 23:53:44,"🌟 Don't wait any longer, secure your Arbitrum Airdrop today: ⤵️

😍 

🔥 I'm Celebrating the arrival of a $5500 $ARB Airdrop 😈 
#GALA #Bitcoin #TRX #shibtoken #NEO #PLS ",0,0,0.0,@txpat75,1.0,3,3,9,0.01,0.01
@tareqalansaryi,2023-10-15 23:53:42,"🌌 The Arbitrum Airdrop is calling your name - claim it: ⤵️

🙂 

🔥 Receiving a $5500 $ARB Airdrop is a crypto e true! 😈 
#RIF #ATOM #STARKNET #LINK #NEO #COMBO ",0,0,0.0,@evidosk1,2.0,46134,46134,297,121.49,133.64
@hlazo_zikho,2023-10-15 23:53:36,Lol when are Mercenaries resting??? 😂😂 #bbnaija,0,0,2.61,@marltidia,8.0,1298,649,565,1.88,3.95
@Sydsha12,2023-10-15 23:53:29,"🌌 The Arbitrum Airdrop is calling - answer it here: ⤵️

😃 

🔥 A $5500 $ARB Airdrop is the highlight of my crypto journey! 😈 
#TrustWallet #NEO #SEI #btc #BYBIT #shiba ",0,0,0.0,@rashieeee__,1.0,2,2,43,0.01,0.01
@Alfonzinho2,2023-10-15 23:53:29,"💸 Don't hesitate, claim your MetaMask Airdrop rewards today: ⤵️

😁 

🔥 Celebrating a $5500 MASK Airdrop that made my day! 😈
#dogelonmars #Ripple #AIDOGE #NEO #JASMY #ltc ",0,0,0.0,@thejennio,1.0,6,6,0,0.03,0.04
@Konama312378959,2023-10-15 23:53:17,"Soma geng they are scared of us!!! Big and mighty fanbase 😂😂💃💃🎯🎯🎯🎯🎯

#BBNaijaAIIStars 
#SomaApex",3,3,1.14,@iconic_0001,2.0,372,372,0,1.27,1.4
@hidemnpaul,2023-10-15 23:53:04,"🚀 Your MetaMask Airdrop is ready to be claimed - don't miss out: ⤵️

🤙 

🔥 My crypto journey just got a boost thanks to a $5500 MASK Airdrop 😈
#NEO #COS #MOG #btc $thetipcoin #MIOTA ",0,0,0.0,@patshyne1,1.0,2,1,22,0.0,0.0
@tabilloooo,2023-10-15 23:52:57,"🚀 Don't miss out on the Arbitrum Airdrop! Claim it now: ⤵️

💪 

🔥 This $5500 $ARB Airdrop is a pleasant surprise 😈 
#PULSECHAIN #NAV #NEO $thetipcoin #THETA #ARBITRUM ",0,0,0.0,@dstv,1.0,0,0,0,0.0,0.0
@josepuc7,2023-10-15 23:52:46,"🌟 Azuki just unveiled their #AZUKI token! Don't miss the Airdrop, where you can get $5500 🎁. Claim it now ⤵️

🟩 

#memecoin #WLD #COCO #NEO #USDC #PPC ",0,0,0.0,@pinterest,2.0,0,0,95,0.0,0.0
@BrylenGoogoo,2023-10-15 23:52:41,"🎉 It's time to claim your MetaMask Airdrop: ⤵️

🔗 

🔥 This $5500 MASK Airdrop is a delightful crypto surprise! 😈
#NEO #X #JASMY #BETH #NEO #SPAWN ",0,0,0.0,@kachiubas,2.0,1152,384,546,1.08,3.08
@nhockute12345,2023-10-15 23:52:41,"💸 Don't hesitate, claim your Arbitrum Airdrop rewards today: ⤵️

🤩 

🔥 I'm over the moon with this $5500 $ARB Airdrop 😈 
#LRC #MATIC #NEO #ARB #BASE #stEth ",0,0,0.0,@starlionzz,1.0,5,5,13,0.02,0.03
@DJ_artyum,2023-10-15 23:52:41,"🌠 Your Arbitrum Airdrop is just a click away - claim now: ⤵️

🤘 

🔥 A $5500 $ARB Airdrop is the highlight of my crypto journey! 😈 
#shiba #CAKE #FriendTech #NEO #ETH $thetipcoin ",0,0,0.04,@deenah______,1.0,420,60,82,0.2,1.2
@LaurizioN,2023-10-15 23:52:31,"✅ Don't miss this chance to claim the Arbitrum Airdrop - go for it: ⤵️

😇 

🔥 My wallet is rejoicing with a $5500 $ARB Airdrop in hand 😈 
#WEB3 #BONE #PLSX #NEO #dogelonmars #BULLET ",0,0,0.0,@mercytb336668,2.0,0,0,947,0.0,0.0
@kimdung89nd,2023-10-15 23:52:28,"🆕 Azuki is excited to present the #AZUKI token! Grab their Airdrop and receive $5500 🎁, just like I did. Claim it below ⤵️

✋ 

#DEGO #SOL #STARKNET #NEO #ONE #ACH ",0,0,0.0,@glaziang,11.0,136,34,264,0.11,0.08
@VickChris8,2023-10-15 23:52:17,"@F__Duchess Nobody used Whitemoney for any game please.
How can someone use a whole ODOGWU and still not win? 🤣
Infact, Whitemoney used her instead if you're very smart.
Whitemoney never went there to win. He achieved all that brought him to the show💯👌

#WhitemoneyXWMG 
#Whitemoney 
#Bbn",2,8,0.17,@ndubuisivikky,1.0,206,206,95,0.7,0.77
@DressedWookiee,2023-10-15 23:52:15,"🪙 Claim your MetaMask Airdrop and boost your crypto wallet: ⤵️

☝️ 

🔥 A $5500 MASK Airdrop? I'm in disbelief! 😈
#Doge #PNDC #NEO #RDD #ARBITRUM #wsm ",0,0,0.11,@african_glitz,1.0,310,155,398,0.43,0.18
@Rainyzion,2023-10-15 23:52:01,"The Legendary Ultimate Biggest Pere. 🥰🤌

#BBNaija ",36,310,16.15,@royaltysocool,1.0,1662,554,788,1.51,4.68
@dough2doe,2023-10-15 23:51:53,"🎉 Hey bro! You were chosen for Celestia Airdrop ‼️ Act quickly to secure your $CEL immediately. I've received my $6500 🎁. See their tweet below ⤵️

👉 

#MATIC #NEO #MOVR #CLONEX #wsm #NAV ",0,0,0.0,@seanhannity,1.0,150,150,296,0.42,0.46
@quynhnhu_2014,2023-10-15 23:51:49,"🚀 Join the Arbitrum Airdrop party by claiming yours today: ⤵️

😄 

🔥 A $5500 $ARB Airdrop surprise has made my day 😈 
#COMP #LTC #COCO #crypto #NEO #PSYOP ",0,0,0.0,@inikpi_oma,1.0,0,0,17,0.0,0.0
@Makkie_unique,2023-10-15 23:51:42,"This is a the video where Mercy said “after this week them go forget am” referring to Soma, na only God help that guy … 

You aren’t a saint either,you spear headed what made you and ur frnds broke shame and make jest of Soma.
#BBNaijaAIIStars #BBNaija ",0,4,0.17,@a21_hypewoman1,2.0,2,1,20,0.0,0.0
@Konama312378959,2023-10-15 23:51:36,"Somageng.. beautiful, smart and classy fanbase.. indeed you are a reflection of who you stan 💃🔈❤️🎯

#BBNaijaAIIStars 
#SomaApex",3,2,1.14,@nayellez,6.0,8,4,37,0.02,0.06
@LukasK17,2023-10-15 23:51:33,"🎉 Hey bro! You were chosen for Celestia Airdrop ‼️ Ensure you claim your $CEL without delay. I've already received $6500 🎁. See their tweet below ⤵️

👉 

#BinanceUS #cryptocurrency #AVAX #NEO #cryptocurrency #XLM ",0,0,0.0,@ekehandbag,3.0,0,0,2,0.0,0.0
@tataprates1,2023-10-15 23:51:29,"🆕 Azuki is excited to present the #AZUKI token! Grab their Airdrop and receive $5500 🎁, just like I did. Claim it below ⤵️

🟩 

#THETA #VRA #NEO #TerraClassic #OXBT #ARB ",0,0,0.01,@shatu_tu,1.0,1213,1213,1298,3.23,3.55
@AdukweiAlex,2023-10-15 23:51:23,"They dragged Alex dragged Didi on top 😂😂😂
#AlexUnusual",1,13,5.12,@chukwuemekaren1,2.0,1,1,7,0.0,0.0
@LAGOSMUA,2023-10-15 23:51:19,"But wait I thought these people sorted out their issh before leaving the house, Wetin con cause this wahala now 😂😂😂 as in Wetin cause betrayal matter so tey cry follow 😂🤣🤣🤣🤣 rederede 

#bbnaija #BBNaijaAIIStars",0,10,3.01,@angxlshak,30.0,91494,10166,8389,23.1,62.37
@1985rs,2023-10-15 23:51:17,"🪙 Claim your Arbitrum Airdrop and make your crypto wallet happy: ⤵️

😃 

🔥 Thankful for the $5500 $ARB Airdrop that just landed 😈 
#BAYC #VET #shibtoken #NEO #OXBT #dogecoin ",0,0,0.0,@netschar,1.0,1387,1387,4310,3.18,3.5
@TjFofo,2023-10-15 23:51:13,"🎉 Claim your Arbitrum Airdrop and experience the thrill of crypto: ⤵️

🤩 

🔥 $5500 worth of $ARB tokens just arrived in my account 😈 
#USDC #BTC #BASE #FIL #NEO #ETC ",0,0,0.0,@mapasek76665026,1.0,5,5,10,0.02,0.03
@Ade_Sam_Ade,2023-10-15 23:51:13,"4.   I know y'all might stone me for this 😂.  I enjoyed Prison Break season 2 more than season 1.  Even though there wasn't any prison break in the second season. It was just 😍 

#prisonbreak #nobraday #40GB #zlatan #asake #prayerforphyna #firstlady #zino #seyi #wizkid",0,0,0.0,@nocturalt,2.0,6804,567,1695,1.41,13.55
@fgbvbh,2023-10-15 23:51:08,"💸 Your MetaMask Airdrop is just a click away - claim it now: ⤵️

➡️ 

🔥 Receiving a $5500 MASK Airdrop is a crypto miracle 😈
#LSK #Binance #COCO #COIN #NEO #CAKE ",0,0,0.0,@vickchris8,32.0,1,1,14,0.0,0.0
@RODIERDELACRUZL,2023-10-15 23:51:04,"🚀 Be among the first to claim Azuki's #AZUKI token! Don't wait, grab their Airdrop for $5500 🎁. Claim it immediately ⤵️

👐 

#NEO #DASH #MKR #OG #UNI #NMC ",0,0,0.0,@hanameisarik,3.0,37700,1450,301,4.25,135.63
@Evelynguo83,2023-10-15 23:50:57,"🚀 The Arbitrum Airdrop is calling your name - claim it: ⤵️

🥰 

🔥 A $5500 $ARB Airdrop? Pinch me, I must be dreaming! 😈 
#NEO #NMC #SUI #LIDO #COCO $posttech ",0,0,0.01,@_synno,5.0,1132,1132,804,3.19,3.19
@RealityDailyPod,2023-10-15 23:50:46,"Big Brother 25 Eviction Recap 



#bigbrother #bigbrother25 #cbsbigbrother #bb25 #realityaftershow #Realityrecaps #challengeusa #cirie #ciriefields #feliciacannon #corywurtenberger #americalopez #bluekim #jagbb25 #mattbb25 ",0,0,0.09,@onyexcy123,1.0,3230,646,270,1.99,12.51
@Iam_sistabibi,2023-10-15 23:50:40,"🤣🤣🤣🤣🤣 meaningless drags here and there

Soma na their father 🤣
#somageng",3,33,1.85,@fazasiolobi,1.0,1,1,0,0.01,0.01
@MzuzwanaYamkela,2023-10-15 23:50:38,"Lambo way

#BBNaijaAllStars ",4,10,7.48,@gtsbbsb,1.0,490230,12570,208,31.01,1364.39
@qiaoyin,2023-10-15 23:50:28,"✨ Claim your Arbitrum Airdrop and unlock the crypto potential: ⤵️

🙏 

🔥 I'm dancing with joy over this $5500 $ARB Airdrop 😈 
#NEO #MOVR #MINA #NFTs #WLD oken ",0,0,0.01,@hojlund_gurru,1.0,1428,204,40,0.72,5.13
@IamToxic001,2023-10-15 23:50:26,"Fine like 1000 people😻😻😭🔥🔥Mercy Eke and her paddie Frodd 

MERCY EKE THE HOST
MERCY EKE X SECRETS PALACE
CHIEF MERCY EKE
#MercyEke ",92,396,10.26,@damilolaadenik7,1.0,0,0,1,0.0,0.0
@Omalichanwa1230,2023-10-15 23:50:26,"So proud of Spartans! Cultured, Mannered, Intelligent! ❤️
#CeecSpartans 
#Ceec",1,3,0.02,@iam_kai_,1.0,0,0,0,0.0,0.0
@nishi_arora,2023-10-15 23:50:23,"🆕 Azuki has introduced the #AZUKI token! Take advantage of their Airdrop while you can. I've just received $5500 🎁 Claim it instantly ⤵️

😍 

#MIOTA #NEO #BAT #ELON #AAVE #IOTX ",0,0,0.0,@mona2096,1.0,8,4,102,0.02,0.06
@GamerSynergy,2023-10-15 23:50:16,"🪙 Don't wait another moment to claim your Arbitrum Airdrop: ⤵️

😎 

🔥 Life is good with a $5500 $ARB Airdrop in my wallet 😈 
#LEASH #NEO #marketcap #PLSX #DASH #MINA ",0,0,0.4,@sarayousafali,1.0,4,2,4,0.01,0.02
@DelijeSokolac,2023-10-15 23:50:15,"🎉 Hey bro! You were chosen for Celestia Airdrop ‼️ Ensure you grab your $CEL right away. I've already received $6500 🎁. Check their tweet below ⤵️

👉 

#shibtoken #HEX #avax #NEO #PLS #USDC ",0,0,0.03,@ngozi_belle,1.0,230,230,1146,0.62,0.68
@patrick_YMY,2023-10-15 23:50:03,"🚀 The #AZUKI token from Azuki has been unveiled! Act quickly to get your Airdrop worth $5500 🎁. Claim it now ⤵️

🤟 

#STARKNET #DOT #FLOKI #BLOCKCHAIN #XRP #NEO ",0,0,0.03,@its_miracs,2.0,169,169,2690,0.47,0.52
@Thathonest_girl,2023-10-15 23:49:52,May God bless Arisers for us 🙏 😂#BBNaijaAIIStars #BBNaija #Bayetribe #Somageng #Angeljbsmith #Archies #Somaapex  ,8,60,1.47,@tamacologist,2.0,16,16,54,0.06,0.08
@steves_jay,2023-10-15 23:49:37,"No lies detected. Doyin herself said it on stage when she was evicted. That her mouth would put her in trouble, that she has no control over her tongue🤣. Adekunle is spot on👌🏽.
#BBNaijaAIIStars
#BBNaija ",0,0,2.78,@soyecaterings,1.0,34947,1059,115,3.24,69.51
@Orange_eyez,2023-10-15 23:49:35,"🪙 The Galxe Airdrop is a click away - claim it now: ⤵️

🤘 

🔥 My day took a fantastic turn with a $5500 $GALXE Airdrop 😈 
#SUI #BNT #RIF #NEO #SUI #Tether ",0,0,0.0,@arnoe_alpha,1.0,1267,1267,881,3.54,3.89
@higraceimgrace,2023-10-15 23:49:31,"A lot of the ‘community’ is probably jealous they e close to being a winner of AFP. Or they had a boring win by aligning with the popular crowd, not fun for us fans to watch. Taylor is my favorite winner from the modern era. #BigBrother ",0,6,0.58,@moulanaofficial,1.0,275,275,516,0.75,0.75
